picture_file_nv,n_en,n_de,n_fr,adj_en,adj_de,adj_fr,continue_text_de,continue_text_en,continue_text_fr,n_foil_en,n_foil_de,n_foil_fr,correct_noun,ver_n_de,ver_n_en,ver_n_fr,adj_foil_en,adj_foil_de,adj_lemma_de,adj_foil_fr,adj_lemma_fr,ver_adj_en,ver_adj_de,ver_adj_fr
"PICTURE_680_LITTLE.jpg","bow","Bogen","arc","little","kleiner","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","snail","Schnecke","escargot",FALSE,"Schnecke","snail","escargot","old","alt","klein","vieux","petit","old","alt","vieux"
"PICTURE_680_NEW.jpg","bow","Bogen","arc","new","neuer","nouvel","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hedgehog","Igel","hérisson",FALSE,"Igel","hedgehog","hérisson","big","groß","neu","grand","nouveau","big","groß","grand"
"PICTURE_680_OLD.jpg","bow","Bogen","arc","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","snail","Schnecke","escargot",FALSE,"Schnecke","snail","escargot","new","neu","alt","nouveau","vieux","new","neu","nouveau"
"PICTURE_680_BIG.jpg","bow","Bogen","arc","big","großer","grand","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","eye","Auge","oeil",TRUE,"Bogen","bow","arc","old","alt","groß","vieux","grand","big","groß","grand"
"PICTURE_680_LITTLE.jpg","bow","Bogen","arc","little","kleiner","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","snail","Schnecke","escargot",TRUE,"Bogen","bow","arc","new","neu","klein","nouveau","petit","little","klein","petit"
"PICTURE_680_NEW.jpg","bow","Bogen","arc","new","neuer","nouvel","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hedgehog","Igel","hérisson",TRUE,"Bogen","bow","arc","little","klein","neu","petit","nouveau","new","neu","nouveau"
"PICTURE_680_OLD.jpg","bow","Bogen","arc","old","alter","vieil","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","snail","Schnecke","escargot",TRUE,"Bogen","bow","arc","big","groß","alt","grand","vieux","old","alt","vieux"
"PICTURE_351_BIG.jpg","butterfly","Schmetterling","papillon","big","großer","grand","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","elephant","Elefant","éléphant",FALSE,"Elefant","elephant","éléphant","little","klein","groß","petit","grand","little","klein","petit"
"PICTURE_351_LITTLE.jpg","butterfly","Schmetterling","papillon","little","kleiner","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","basket","Korb","panier",FALSE,"Korb","basket","panier","old","alt","klein","vieux","petit","old","alt","vieux"
"PICTURE_351_NEW.jpg","butterfly","Schmetterling","papillon","new","neuer","nouveau","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","face","Gesicht","visage",FALSE,"Gesicht","face","visage","big","groß","neu","grand","nouveau","big","groß","grand"
"PICTURE_351_OLD.jpg","butterfly","Schmetterling","papillon","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bow","Bogen","arc",FALSE,"Bogen","bow","arc","new","neu","alt","nouveau","vieux","new","neu","nouveau"
"PICTURE_351_BIG.jpg","butterfly","Schmetterling","papillon","big","großer","grand","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","elephant","Elefant","éléphant",TRUE,"Schmetterling","butterfly","papillon","old","alt","groß","vieux","grand","big","groß","grand"
"PICTURE_351_LITTLE.jpg","butterfly","Schmetterling","papillon","little","kleiner","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","basket","Korb","panier",TRUE,"Schmetterling","butterfly","papillon","new","neu","klein","nouveau","petit","little","klein","petit"
"PICTURE_351_NEW.jpg","butterfly","Schmetterling","papillon","new","neuer","nouveau","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","face","Gesicht","visage",TRUE,"Schmetterling","butterfly","papillon","little","klein","neu","petit","nouveau","new","neu","nouveau"
"PICTURE_351_OLD.jpg","butterfly","Schmetterling","papillon","old","alter","vieux","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","bow","Bogen","arc",TRUE,"Schmetterling","butterfly","papillon","big","groß","alt","grand","vieux","old","alt","vieux"
"PICTURE_196_BIG.jpg","computer","Computer","ordinateur","big","großer","grand","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","nurse","Krankenschwester","infirmière",FALSE,"Krankenschwester","nurse","infirmière","new","neu","groß","nouveau","grand","new","neu","nouveau"
